venueCategory,count,Kategori
Bar,15978,Tempat Makan
Home (private),15382,Residental (Perumahan/Privat)
Office,12740,Tempat Kerja
Subway,9348,Transportasi Umum
Gym / Fitness Center,9171,Layanan Publik
Coffee Shop,7510,Tempat Makan
Food & Drink Shop,6596,Tempat Makan
Train Station,6408,Transportasi Umum
Park,4804,Wisata
Neighborhood,4604,Residental (Perumahan/Privat)
Bus Station,4474,Transportasi Umum
Deli / Bodega,4214,Tempat Makan
Residential Building (Apartment / Condo),4185,Residental (Perumahan/Privat)
Other Great Outdoors,4134,Wisata
American Restaurant,3701,Tempat Makan
College Academic Building,3479,Layanan Publik
Building,3474,Residental (Perumahan/Privat)
Medical Center,3366,Layanan Publik
Road,3207,Layanan Publik
Clothing Store,2976,Belanja & Hiburan
Hotel,2860,Residental (Perumahan/Privat)
Airport,2852,Transportasi Umum
Drugstore / Pharmacy,2488,Layanan Publik
Pizza Place,2469,Tempat Makan
Bank,2233,Layanan Publik
Movie Theater,2158,Wisata
Mexican Restaurant,2043,Tempat Makan
Department Store,1826,Belanja & Hiburan
Italian Restaurant,1816,Tempat Makan
Sandwich Place,1719,Tempat Makan
Burger Joint,1654,Tempat Makan
Fast Food Restaurant,1600,Tempat Makan
Government Building,1589,Tempat Kerja
Bakery,1586,Tempat Makan
Café,1585,Tempat Makan
Bridge,1527,Layanan Publik
Plaza,1515,Layanan Publik
Chinese Restaurant,1498,Tempat Makan
Salon / Barbershop,1476,Layanan Publik
Music Venue,1424,Layanan Publik
Diner,1376,Tempat Makan
Electronics Store,1361,Belanja & Hiburan
General Entertainment,1334,Belanja & Hiburan
Gas Station / Garage,1321,Layanan Publik
Mall,1187,Belanja & Hiburan
Church,1172,Layanan Publik
Donut Shop,1168,Tempat Makan
General Travel,1159,Belanja & Hiburan
School,1143,Layanan Publik
Stadium,1120,Layanan Publik
Theater,1082,Belanja & Hiburan
University,1071,Layanan Publik
Miscellaneous Shop,1066,Belanja & Hiburan
Ferry,892,Transportasi Umum
Sushi Restaurant,881,Tempat Makan
Bagel Shop,869,Tempat Makan
City,832,Layanan Publik
Ice Cream Shop,831,Tempat Makan
Food Truck,769,Tempat Makan
Post Office,741,Layanan Publik
Light Rail,733,Transportasi Umum
French Restaurant,725,Tempat Makan
Laundry Service,721,Layanan Publik
Athletic & Sport,703,Layanan Publik
BBQ Joint,684,Tempat Makan
Event Space,677,Layanan Publik
Seafood Restaurant,668,Tempat Makan
Bookstore,665,Belanja & Hiburan
Convenience Store,652,Belanja & Hiburan
High School,648,Layanan Publik
Asian Restaurant,644,Tempat Makan
Restaurant,625,Tempat Makan
Thai Restaurant,593,Tempat Makan
Automotive Shop,579,Belanja & Hiburan
Beach,575,Wisata
Furniture / Home Store,565,Belanja & Hiburan
Performing Arts Venue,561,Layanan Publik
Beer Garden,549,Tempat Makan
Parking,541,Layanan Publik
Cosmetics Shop,537,Belanja & Hiburan
Moving Target,524,Belanja & Hiburan
Breakfast Spot,504,Tempat Makan
Spa / Massage,499,Belanja & Hiburan
Playground,497,Wisata
Dessert Shop,490,Tempat Makan
Art Gallery,486,Wisata
Library,486,Layanan Publik
Scenic Lookout,483,Belanja & Hiburan
Japanese Restaurant,469,Tempat Makan
General College & University,455,Layanan Publik
Hardware Store,455,Belanja & Hiburan
Sporting Goods Shop,427,Belanja & Hiburan
Caribbean Restaurant,421,Tempat Makan
Korean Restaurant,402,Tempat Makan
Fried Chicken Joint,393,Tempat Makan
Convention Center,387,Layanan Publik
Arcade,377,Belanja & Hiburan
Latin American Restaurant,372,Tempat Makan
Indian Restaurant,372,Tempat Makan
Steakhouse,369,Tempat Makan
Cuban Restaurant,365,Tempat Makan
Vegetarian / Vegan Restaurant,350,Tempat Makan
Harbor / Marina,342,Wisata
Ramen /  Noodle House,332,Tempat Makan
Gastropub,332,Tempat Makan
Art Museum,326,Wisata
Pet Store,302,Layanan Publik
Burrito Place,293,Tempat Makan
Garden,288,Wisata
Hot Dog Joint,281,Tempat Makan
Cupcake Shop,273,Belanja & Hiburan
Community College,272,Layanan Publik
Spanish Restaurant,272,Tempat Makan
Other Nightlife,267,Belanja & Hiburan
Concert Hall,259,Layanan Publik
Paper / Office Supplies Store,258,Belanja & Hiburan
Student Center,257,Layanan Publik
Arts & Crafts Store,256,Belanja & Hiburan
Tea Room,254,Tempat Makan
Housing Development,250,Belanja & Hiburan
Flea Market,243,Belanja & Hiburan
Taco Place,241,Tempat Makan
Historic Site,235,Wisata
Toy / Game Store,229,Belanja & Hiburan
Bowling Alley,220,Layanan Publik
Smoke Shop,211,Belanja & Hiburan
Candy Store,201,Belanja & Hiburan
Salad Place,199,Tempat Makan
Outdoors & Recreation,194,Wisata
Middle Eastern Restaurant,189,Tempat Makan
Synagogue,188,Layanan Publik
Campground,186,Layanan Publik
Tapas Restaurant,186,Tempat Makan
Taxi,185,Layanan Publik
Pool,184,Wisata
German Restaurant,184,Tempat Makan
Thrift / Vintage Store,184,Belanja & Hiburan
Mediterranean Restaurant,180,Tempat Makan
Vietnamese Restaurant,180,Tempat Makan
Cemetery,179,Layanan Publik
